Student_ID,Gender,Age,Department,Year,Attendance,Quiz_Marks,Assignment_Marks,Midterm_Marks,Final_Marks,Semester,Academic_Year,GPA
100001,Male,19,Information Technology,2nd Year,93,49,43,43,63,Semester 2,2024-2025,2.04
100002,Female,19,Business,2nd Year,87,60,80,68,68,Semester 1,2023-2024,2.79
100003,Male,18,Civil,1st Year,75,55,43,40,48,Semester 2,2025-2026,1.83
100004,Male,24,Information Technology,4th Year,76,78,86,67,54,Semester 1,2023-2024,2.75
100005,Male,20,Mechanical,1st Year,50,77,58,84,56,Semester 1,2023-2024,2.67
100006,Female,21,Business,3rd Year,59,96,75,85,79,Semester 2,2023-2024,3.28
100007,Male,21,Electronics,4th Year,66,40,95,90,58,Semester 2,2024-2025,2.9
100008,Male,20,Mechanical,2nd Year,96,84,56,88,41,Semester 1,2022-2023,2.52
100009,Male,24,Civil,1st Year,96,81,72,54,73,Semester 1,2023-2024,2.77
100010,Female,18,Mechanical,4th Year,58,66,73,71,96,Semester 2,2022-2023,3.18
100011,Male,21,Business,4th Year,56,56,76,40,91,Semester 2,2023-2024,2.77
100012,Male,22,Electronics,4th Year,77,60,98,68,66,Semester 1,2023-2024,2.94
100013,Male,21,Electronics,2nd Year,82,100,78,82,42,Semester 1,2022-2023,2.79
100014,Male,18,Business,1st Year,73,95,82,73,46,Semester 2,2022-2023,2.76
100015,Female,19,Civil,2nd Year,81,85,41,44,84,Semester 2,2022-2023,2.54
100016,Male,19,Business,2nd Year,99,44,78,95,85,Semester 2,2022-2023,3.18
100017,Female,19,Mechanical,2nd Year,76,50,82,53,94,Semester 1,2025-2026,2.97
100018,Female,18,Business,1st Year,70,75,44,100,65,Semester 1,2022-2023,2.8
100019,Female,19,Electronics,1st Year,71,53,84,94,98,Semester 1,2025-2026,3.47
100020,Male,24,Civil,1st Year,91,44,84,99,51,Semester 1,2023-2024,2.81
100021,Female,19,Business,1st Year,72,47,70,77,87,Semester 2,2023-2024,2.97
100022,Male,18,Electronics,3rd Year,72,74,60,92,55,Semester 1,2025-2026,2.73
100023,Female,22,Business,2nd Year,66,75,91,60,64,Semester 2,2022-2023,2.86
100024,Female,21,Computer Science,1st Year,54,50,80,97,94,Semester 2,2022-2023,3.39
100025,Female,18,Computer Science,1st Year,63,44,77,90,86,Semester 1,2022-2023,3.14
100026,Female,18,Electronics,2nd Year,62,80,77,59,77,Semester 1,2025-2026,2.92
100027,Female,20,Civil,4th Year,57,92,90,85,42,Semester 2,2024-2025,2.89
100028,Female,19,Computer Science,2nd Year,80,54,69,94,94,Semester 1,2024-2025,3.27
100029,Female,23,Electronics,2nd Year,54,54,48,69,94,Semester 1,2025-2026,2.81
100030,Female,22,Business,4th Year,80,46,57,95,47,Semester 2,2025-2026,2.45
100031,Male,23,Information Technology,1st Year,61,77,75,66,75,Semester 2,2024-2025,2.92
100032,Male,20,Business,3rd Year,61,66,43,68,49,Semester 1,2024-2025,2.19
100033,Female,22,Mechanical,4th Year,94,60,92,58,82,Semester 1,2022-2023,3.01
100034,Female,19,Electronics,3rd Year,73,73,49,80,70,Semester 2,2022-2023,2.71
100035,Female,23,Computer Science,4th Year,97,50,94,58,57,Semester 2,2023-2024,2.62
100036,Male,19,Electronics,3rd Year,76,77,76,72,93,Semester 1,2025-2026,3.24
100037,Female,19,Business,3rd Year,69,66,97,94,87,Semester 1,2024-2025,3.52
100038,Male,21,Civil,4th Year,85,79,43,43,73,Semester 2,2023-2024,2.36
